id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,14428,RIBU RUPIAH,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8305,RIBU RUPIAH,2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,12794,RIBU RUPIAH,2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,6457,RIBU RUPIAH,2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,11487,RIBU RUPIAH,2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,4842,RIBU RUPIAH,2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,13819,RIBU RUPIAH,2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,9006,RIBU RUPIAH,2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,10782,RIBU RUPIAH,2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4248,RIBU RUPIAH,2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,11565,RIBU RUPIAH,2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5227,RIBU RUPIAH,2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,13972,RIBU RUPIAH,2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,6329,RIBU RUPIAH,2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,13789,RIBU RUPIAH,2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,6543,RIBU RUPIAH,2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,15609,RIBU RUPIAH,2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,5261,RIBU RUPIAH,2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,13811,RIBU RUPIAH,2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,6278,RIBU RUPIAH,2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,13406,RIBU RUPIAH,2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,9694,RIBU RUPIAH,2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,14349,RIBU RUPIAH,2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,7035,RIBU RUPIAH,2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,14818,RIBU RUPIAH,2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,8457,RIBU RUPIAH,2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,17223,RIBU RUPIAH,2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7427,RIBU RUPIAH,2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,15279,RIBU RUPIAH,2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,8987,RIBU RUPIAH,2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,16827,RIBU RUPIAH,2018
